单词,解释,次数
input,输入,15568
output,产量,14139
single,单,8883
following,以下,6082
sequence,序列,5038
data,数据,4547
string,串,4215
positive,正,3655
means,手段,3232
multiple,多,2966
contest,比赛,2941
hen,母鸡,2820
minimum,最低限度,2659
blank,空白,2637
assume,承担,2524
sum,和,2416
maximum,最大值,2250
character,字符,2248
format,格式,2049
board,板,1988
result,结果,1763
solution,解,1561
determine,确定,1540
function,功能,1467
system,系统,1431
calculate,计算,1424
sample,样品,1424
range,范围,1404
column,柱,1401
figure,数字,1386
score,得分了,1383
consist,组成,1345
respectively,分别,1305
corresponding,相应,1272
graph,图形,1266
initial,初始,1212
location,位置,1086
coordinate,坐标,1084
solve,解决,1063
negative,负,1062
represent,代表,1034
lower,降低,1030
original,原版的,1030
process,处理,989
according,根据,985
route,路线,968
current,当前,938
series,系列,888
segment,分割,868
describe,描述,866
network,网络,860
valid,有效,857
center,中央,853
expression,表达,824
distinct,不同,805
instance,例,781
puzzle,难题,779
element,元件,778
exceed,超过,767
instead,代替,760
triangle,三角形,758
indicate,表明,752
upper,上,752
unique,独特,747
width,宽度,735
prime,主要,683
target,目标,682
destination,目的地,666
horizontal,横,661
command,命令,652
cube,立方体,634
magic,魔法,629
pattern,模式,618
attack,攻击,614
vertical,垂直,606
meaning,含义,605
region,地区,592
define,确定,579
object,目的,575
available,可得到,569
image,图片,543
immediately,立即,540
finally,最后,529
rank,秩,519
error,错误,519
index,指数,513
strategy,战略,502
leading,领导,501
connect,连,493
interval,间隔,485
product,产品,482
local,本地,479
average,平均,469
alphabet,字母,466
software,软件,465
stack,堆,462
directly,直,456
angle,角度,455
previous,以前,454
exact,精确,450
extra,额外,443
display,显示,437
absolute,绝对,435
variable,变量,430
recently,最近,428
queue,队列,420
source,资源,414
select,选择,412
odd,奇,406
addition,加成,402
instruction,指令,399
occur,发生,398
legal,法律,389
similar,类似,388
formula,式,384
outside,外,381
condition,条件,378
parallel,平行,376
generate,生成,376
symbol,符号,374
equation,方程,371
item,项目,354
label,标签,354
